gid;name;number_;address;open;available;free;total;ticket;updated_at;globalid;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
901686;106_AVDA. DE LOS NARANJOS;106;Albalat dels Tarongers - Professor Ernest Lluch;T;25;0;25;F;28/11/2022 10:51:09;{19BC0E9A-32D0-409C-B8F0-EBC64F773FE1};;;;;"{""coordinates"": [-0.34138726522688073, 39.47674432466283], ""type"": ""Point""}";39.47674432466283,-0.34138726522688073
901690;110_KISSHOMARU;110;UPV Trinquet;T;29;1;30;F;28/11/2022 10:51:09;{A5AB7D9B-8866-4EDB-8D05-BB1F09B36786};;;;;"{""coordinates"": [-0.33668024623462534, 39.48074033571707], ""type"": ""Point""}";39.48074033571707,-0.33668024623462534
901700;120_C_DR VICENTE ZARAGOZA;120;Doctor Vicente Zaragozá - Emilio Baró;T;2;16;18;T;28/11/2022 10:51:09;{D5DC5DC9-9E6D-4114-AD7A-1659BF3035D1};;;;;"{""coordinates"": [-0.36204632906281087, 39.484880361257815], ""type"": ""Point""}";39.484880361257815,-0.36204632906281087
901737;157_AVENIDA_PEREZ_GALDOS;157;Pérez Galdós - Marqués de Zenete;T;0;20;20;T;28/11/2022 10:51:09;{87105A68-81EF-4565-8920-DDB0AA8CEA13};;;;;"{""coordinates"": [-0.38736643250783204, 39.46405230416093], ""type"": ""Point""}";39.46405230416093,-0.38736643250783204
901739;159_FRANCISCO CUBELLS;159;Francisco Cubells - San José de la Vega;T;0;17;17;F;28/11/2022 10:51:09;{6BAFD840-14A1-4FF1-9209-7E3C1C2085C6};;;;;"{""coordinates"": [-0.3347222532485526, 39.463449276866356], ""type"": ""Point""}";39.463449276866356,-0.3347222532485526
901759;179_AVENIDA_DE_LA_PLATA_45;179;Av. de la Plata - Zapadores;T;4;19;23;F;28/11/2022 10:51:09;{AC0C8FC4-7AAD-452C-A11F-8753591927A4};;;;;"{""coordinates"": [-0.36642636792637634, 39.45547226612543], ""type"": ""Point""}";39.45547226612543,-0.36642636792637634
901738;158_DR.LLUNCH;158;Doctor Lluch - Virgen del Sufragio;T;10;4;15;F;28/11/2022 10:51:09;{49AB78B2-28E3-4572-B1EB-AC7D1F8F042E};;;;;"{""coordinates"": [-0.3277192268301427, 39.46669828513057], ""type"": ""Point""}";39.46669828513057,-0.3277192268301427
901758;178_CALLE_REIG_GENOVES;178;Reig Genovés - Ramón Contreras Mongrell;T;0;20;20;F;28/11/2022 10:51:09;{D44C4D05-48CB-498C-BB18-6340DBD0C81C};;;;;"{""coordinates"": [-0.3705063522665271, 39.49221639017785], ""type"": ""Point""}";39.49221639017785,-0.3705063522665271
901760;180_AVENIDA_DOCTOR_WAKSMAN;180;Doctor Waksman - Nieves;T;6;14;20;T;28/11/2022 10:51:09;{2CEB3064-782C-4CDA-AC57-AB34725FDF7E};;;;;"{""coordinates"": [-0.3706833820688013, 39.45602126922772], ""type"": ""Point""}";39.45602126922772,-0.3706833820688013
901783;203_CALLE_REINA_VIOLANTE;203;Reina Violante - Escultor García Mas;T;4;11;15;F;28/11/2022 10:51:09;{935E348B-D104-4AAC-BFCB-E03BC2BB7081};;;;;"{""coordinates"": [-0.40118246297404103, 39.48460937883364], ""type"": ""Point""}";39.48460937883364,-0.40118246297404103
